Ngày;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
01/01/2021;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;963.6;945.5;945.5;945.5;945.5;945.5;945.5;946.1;962.7;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4;964.4
01/02/2021;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7;1019.7
01/03/2021;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;984.5;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4;988.4
01/04/2021;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1009.2;1002.0;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8;1010.8
01/05/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1052.4;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
01/06/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
01/07/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
01/08/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
01/09/2021;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1061.5;1052.4;1064.0;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1;1064.1
01/10/2021;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.7;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.8;966.7;966.7;966.7;966.7
01/11/2021;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.0;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.1;1002.0;1002.0
01/12/2021;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6
13/1/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
14/1/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5
15/1/2021;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.6;1061.6;1061.6;1061.6;1061.6;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.5;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.6;1061.5;1061.5;1061.5;1061.5
16/1/2021;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1061.5;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6;1066.6
